,,,,,,,,,,degrees C,ms/cm,ppt,,
10/22/2014,2014,10,PW,Control,P75181,N/A,8,1,12:59,27.34,18.11,10.66,6.76,
10/22/2014,2014,10,PW,Control,P75181,N/A,8,2,13:02,27.92,15.36,8.92,6.78,
10/22/2014,2014,10,PW,Control,P75181,13,8,3,13:07,27.74,17.42,10.22,6.77,
10/22/2014,2014,10,PW,Control,P75181,13,8,4,13:10,27.11,13.84,7.97,6.76,
10/22/2014,2014,10,PW,Control,P75181,13,8,5,13:20,26.95,13.82,7.96,6.76,
10/22/2014,2014,10,PW,Control,P75181,N/A,9,1,13:16,27.82,15.95,9.29,6.89,
10/22/2014,2014,10,PW,Control,P75181,N/A,9,2,13:34,26.88,11.77,6.69,6.7,
10/22/2014,2014,10,PW,Control,P75181,14,9,3,13:23,26.76,11.35,6.43,6.76,
10/22/2014,2014,10,PW,Control,P75181,14,9,4,13:37,28.1,14.6,8.43,6.83,
10/22/2014,2014,10,PW,Control,P75181,14,9,5,13:27,27.05,13.9,8.01,6.71,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,11,1,14:18,26.65,14.16,8.18,6.63,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,11,2,14:03,28,15.83,9.21,6.67,
10/22/2014,2014,10,PW,Treatment,P75181,16,11,3,14:14,27.06,20.64,12.3,6.7,
10/22/2014,2014,10,PW,Treatment,P75181,16,11,4,14:10,27.37,20.5,12.21,6.67,
10/22/2014,2014,10,PW,Treatment,P75181,16,11,5,13:59,28.81,19.02,11.23,6.58,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,12,1,14:23,27.01,21.5,12.87,6.81,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,12,2,14:32,27.33,22.55,13.55,6.61,
10/22/2014,2014,10,PW,Treatment,P75181,17,12,3,14:26,26.52,25.81,15.71,6.6,
10/22/2014,2014,10,PW,Treatment,P75181,17,12,4,14:29,26.87,23.97,14.5,6.55,
10/22/2014,2014,10,PW,Treatment,P75181,17,12,5,14:36,26.1,25.42,15.46,6.61,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,13,1,15:02,25.51,26.62,7.23,6.8,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,13,2,15:05,25.54,11.57,6.58,6.68,
10/22/2014,2014,10,PW,Treatment,P75181,18,13,3,15:11,25.36,13.25,7.62,6.58,
10/22/2014,2014,10,PW,Treatment,P75181,18,13,4,15:14,25.17,20.78,12.42,6.56,
10/22/2014,2014,10,PW,Treatment,P75181,18,13,5,14:58,25.65,19.39,11.51,6.81,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,14,1,14:50,27.27,18.65,11.02,6.76,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,14,2,14:56,26.74,19.54,11.59,6.79,
10/22/2014,2014,10,PW,Treatment,P75181,19,14,3,14:44,26.29,22.17,13.31,6.61,
10/22/2014,2014,10,PW,Treatment,P75181,19,14,4,14:46,26.42,22.11,13.27,6.65,
10/22/2014,2014,10,PW,Treatment,P75181,19,14,5,14:53,26.2,16.91,9.92,6.67,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,15,1,15:31,24.92,14.93,8.68,7.01,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,15,2,15:38,25.28,17.05,10.01,6.73,
10/22/2014,2014,10,PW,Treatment,P75181,20,15,3,15:41,25.01,12.91,7.41,6.77,
10/22/2014,2014,10,PW,Treatment,P75181,20,15,4,15:35,24.9,17.64,10.4,6.5,
10/22/2014,2014,10,PW,Treatment,P75181,20,15,5,15:44,25.08,17.87,10.54,6.67,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,16,1,15:24,25.25,20.2,12.1,6.72,
10/22/2014,2014,10,PW,Treatment,P75181,N/A,16,2,15:37,25.46,17.06,10.02,6.91,
10/22/2014,2014,10,PW,Treatment,P75181,21,16,3,15:17,25.16,21.21,12.7,6.6,
10/22/2014,2014,10,PW,Treatment,P75181,21,16,4,15:21,25.21,22.12,13.3,6.82,
10/22/2014,2014,10,PW,Treatment,P75181,21,16,5,15:27,25.32,21.62,12.97,6.76,
10/22/2014,2014,10,SW,Control,P75181,2,,N/A,17:00,,,,,
10/22/2014,2014,10,SW,Control,P75181,3,,N/A,17:01,,,,,
10/22/2014,2014,10,SW,Treatment,P75181,4,,N/A,13:02,,,,,
10/22/2014,2014,10,SW,Treatment,P75181,5,,N/A,17:03,,,,,
11/20/2014,2014,11,PW,Control,P75910,N/A,1,1,12:35,25.41,13.38,7.7,6.82,
11/20/2014,2014,11,PW,Control,P75910,N/A,1,2,12:42,24.69,16.09,9.41,6.88,
11/20/2014,2014,11,PW,Control,P75910,N/A,1,3,12:40,25.17,13.85,8,6.74,
11/20/2014,2014,11,PW,Control,P75910,N/A,1,4,12:43,26.25,11.32,6.42,6.68,
11/20/2014,2014,11,PW,Control,P75910,N/A,1,5,12:48,25.7,12.52,7.16,6.78,
11/20/2014,2014,11,PW,Control,P75910,N/A,2,1,13:06,23.27,14.04,8.13,,
11/20/2014,2014,11,PW,Control,P75910,N/A,2,2,13:04,24.15,15.09,8.78,,
11/20/2014,2014,11,PW,Control,P75910,N/A,2,3,12:59,23.52,11.39,6.48,,
11/20/2014,2014,11,PW,Control,P75910,N/A,3,1,12:24,23.32,16.93,9.95,6.8,
11/20/2014,2014,11,PW,Control,P75910,N/A,3,2,12:27,24.2,17.75,10.47,6.76,
11/20/2014,2014,11,PW,Control,P75910,8,3,3,12:31,23.62,13.52,7.8,6.85,
11/20/2014,2014,11,PW,Control,P75910,8,3,4,12:29,23.82,15.61,9.11,6.79,
11/20/2014,2014,11,PW,Control,P75910,8,3,5,12:37,23.52,15.73,9.91,6.77,
11/20/2014,2014,11,PW,Control,P75910,N/A,4,1,13:19,23.4,12.84,7.38,,
11/20/2014,2014,11,PW,Control,P75910,N/A,4,2,13:22,23.4,16.58,9.74,,
11/20/2014,2014,11,PW,Control,P75910,N/A,4,3,13:12,24.33,15.3,8.92,,
11/20/2014,2014,11,PW,Control,P75910,N/A,5,1,12:02,24.61,16.14,9.44,6.77,
11/20/2014,2014,11,PW,Control,P75910,N/A,5,2,11:58,23.14,15.78,9.23,6.71,
11/20/2014,2014,11,PW,Control,P75910,6,5,3,12:03,23.11,11.92,6.81,6.81,
11/20/2014,2014,11,PW,Control,P75910,6,5,4,12:07,23.84,12.59,7.22,6.76,
11/20/2014,2014,11,PW,Control,P75910,6,5,5,12:05,23.85,15.57,9.09,6.81,
11/20/2014,2014,11,PW,Control,P75910,N/A,6,1,13:17,23.75,15.29,8.91,,
11/20/2014,2014,11,PW,Control,P75910,N/A,6,2,13:15,24.78,16.18,9.46,,
11/20/2014,2014,11,PW,Control,P75910,N/A,6,3,13:14,24.55,12.75,7.31,,
11/20/2014,2014,11,PW,Control,P75910,N/A,7,1,12:12,23.04,11.91,6.8,6.86,
11/20/2014,2014,11,PW,Control,P75910,N/A,7,2,12:10,23.63,14.57,8.46,6.88,
11/20/2014,2014,11,PW,Control,P75910,10,7,3,12:18,23.14,14.02,8.12,6.76,
11/20/2014,2014,11,PW,Control,P75910,10,7,4,12:14,22.61,11.49,6.55,6.85,
11/20/2014,2014,11,PW,Control,P75910,10,7,5,12:16,22.55,12.21,7,6.89,
11/20/2014,2014,11,PW,Control,P75910,N/A,8,1,11:50,26.83,17.61,10.36,6.78,
11/20/2014,2014,11,PW,Control,P75910,N/A,8,2,11:53,25.83,16.04,9.37,6.74,
11/20/2014,2014,11,PW,Control,P75910,12,8,3,11:42,24.83,16.73,9.82,6.65,
11/20/2014,2014,11,PW,Control,P75910,12,8,4,11:44,25.06,13.66,7.87,6.76,
11/20/2014,2014,11,PW,Control,P75910,12,8,5,11:47,23.99,13.46,7.76,6.7,
11/20/2014,2014,11,PW,Control,P75910,N/A,9,1,13:31,28.7,17.65,10.36,6.78,
11/20/2014,2014,11,PW,Control,P75910,N/A,9,2,13:34,29,16.42,9.58,6.73,
11/20/2014,2014,11,PW,Control,P75910,16,9,3,13:41,26.47,12.1,6.9,6.9,
11/20/2014,2014,11,PW,Control,P75910,16,9,4,13:39,25.93,14.72,8.53,6.81,
11/20/2014,2014,11,PW,Control,P75910,15,9,5,13:37,24.47,13.61,7.85,6.83,
11/20/2014,2014,11,PW,Control,P75910,N/A,10,1,13:29,24.32,15.4,8.98,,
11/20/2014,2014,11,PW,Control,P75910,N/A,10,2,13:30,23.16,15.74,9.7,,
11/20/2014,2014,11,PW,Control,P75910,N/A,10,3,13:28,13.19,15.15,8.83,,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,11,1,14:03,26.99,21.65,12.98,6.76,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,11,2,14:00,25.94,15.24,8.86,6.77,
11/20/2014,2014,11,PW,Treatment,P75910,17,11,3,13:56,23.91,24.41,14.83,6.79,
11/20/2014,2014,11,PW,Treatment,P75910,17,11,4,13:48,27.02,23.11,13.93,6.83,
11/20/2014,2014,11,PW,Treatment,P75910,17,11,5,13:52,23.95,21.97,13.22,6.72,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,12,1,14:18,24.15,23.58,14.27,6.78,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,12,2,14:20,24.25,22.3,13.41,6.74,
11/20/2014,2014,11,PW,Treatment,P75910,19,12,3,14:09,25.16,25.18,15.32,6.8,
11/20/2014,2014,11,PW,Treatment,P75910,19,12,4,14:15,26.3,23.3,14.07,6.62,
11/20/2014,2014,11,PW,Treatment,P75910,19,12,5,14:13,25.45,23.33,14.1,6.69,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,13,1,14:39,25.85,13,7.46,6.8,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,13,2,14:40,26.47,12.83,7.35,6.74,
11/20/2014,2014,11,PW,Treatment,P75910,22,13,3,14:46,25.7,17.73,10.45,6.51,
11/20/2014,2014,11,PW,Treatment,P75910,22,13,4,14:45,23.69,24.47,14.87,6.61,
11/20/2014,2014,11,PW,Treatment,P75910,22,13,5,14:42,23.68,19.33,11.39,7.01,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,14,1,14:30,25.98,20,11.9,6.89,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,14,2,14:28,25.77,20.72,12.36,6.76,
11/20/2014,2014,11,PW,Treatment,P75910,23,14,3,14:32,23.9,19.18,11.4,6.69,
11/20/2014,2014,11,PW,Treatment,P75910,23,14,4,14:36,24.37,21.57,12.95,6.77,
11/20/2014,2014,11,PW,Treatment,P75910,23,14,5,14:34,23.5,21.2,12.71,6.67,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,15,1,14:52,25.16,18.01,10.64,6.85,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,15,2,14:53,24.12,18.09,10.69,6.7,
11/20/2014,2014,11,PW,Treatment,P75910,24,15,3,14:54,24.38,12.68,7.27,6.97,
11/20/2014,2014,11,PW,Treatment,P75910,24,15,4,14:58,22.13,14.01,8.69,6.77,
11/20/2014,2014,11,PW,Treatment,P75910,24,15,5,14:59,22.47,15.56,9.09,6.48,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,16,1,15:03,21.13,18.41,10.58,6.63,
11/20/2014,2014,11,PW,Treatment,P75910,N/A,16,2,15:01,23.56,21.73,13.07,6.68,
11/20/2014,2014,11,PW,Treatment,P75910,20,16,3,15:11,22.57,23.87,14.48,6.75,
11/20/2014,2014,11,PW,Treatment,P75910,20,16,4,15:08,23.03,22.64,13.67,6.78,
11/20/2014,2014,11,PW,Treatment,P75910,20,16,5,15:05,22.5,21.64,13.01,6.79,
11/20/2014,2014,11,SW,Control,P75911,2,1,N/A,13:21,23.38,8.826,4.93,,
11/20/2014,2014,11,SW,Control,P75911,3,1-Dup,N/A,13:24,23.32,8.843,4.94,,
11/20/2014,2014,11,SW,Control,P75911,8,3,N/A,13:31,23.13,8.89,4.97,,
11/20/2014,2014,11,SW,Control,P75911,10,5,N/A,13:57,23.62,9.002,5.03,,
11/20/2014,2014,11,SW,Control,P75911,12,7,N/A,13:47,23.74,8.804,4.91,,
11/20/2014,2014,11,SW,Control,P75911,13,8,N/A,14:28,25.52,8.811,4.91,,
11/20/2014,2014,11,SW,Control,P75911,14,9,N/A,14:38,25.62,8.909,4.97,,
11/20/2014,2014,11,SW,Treatment,P75911,16,11,N/A,14:51,24.8,9.013,5.03,,
11/20/2014,2014,11,SW,Treatment,P75911,17,12,N/A,15:21,25.76,9.439,5.29,,
11/20/2014,2014,11,SW,Treatment,P75911,18,13,N/A,15:05,24.77,9.089,5.08,,
11/20/2014,2014,11,SW,Treatment,P75911,19,14,N/A,15:26,24.08,9.233,5.18,,
11/20/2014,2014,11,SW,Treatment,P75911,20,15,N/A,15:39,24.83,9.369,5.25,,
11/20/2014,2014,11,SW,Treatment,P75911,21,16,N/A,15:31,24.99,9.116,5.1,,
11/20/2014,2014,11,SW,Treatment,P75911,22,16,N/A,15:36,24.69,9.066,5.07,,FD
12/17/2014,2014,12,PW,Control,P75913,N/A,1,1,10:21,26.7,12.9,7.39,6.64,
12/17/2014,2014,12,PW,Control,P75913,N/A,1,2,10:26,25.24,16.11,9.41,6.61,
12/17/2014,2014,12,PW,Control,P75913,6,1,3,10:32,25.6,13.65,7.87,6.65,
12/17/2014,2014,12,PW,Control,P75913,6,1,4,10:34,24.35,11.56,6.6,6.56,
12/17/2014,2014,12,PW,Control,P75913,6,1,5,10:37,24.66,12.58,7.23,6.85,
12/17/2014,2014,12,PW,Control,P75913,N/A,3,1,10:41,31.86,17.42,10.17,6.66,
12/17/2014,2014,12,PW,Control,P75913,N/A,3,2,10:43,28.8,17.83,10.47,6.68,
12/17/2014,2014,12,PW,Control,P75913,8,3,3,10:47,25.93,13.68,7.88,6.75,
12/17/2014,2014,12,PW,Control,P75913,8,3,4,10:49,25.16,15.2,8.85,6.76,
12/17/2014,2014,12,PW,Control,P75913,8,3,5,10:51,27.95,15.75,9.17,6.58,
12/17/2014,2014,12,PW,Control,P75913,N/A,5,1,10:56,30.08,16.69,9.73,6.76,
12/17/2014,2014,12,PW,Control,P75913,N/A,5,2,10:59,31.3,16.65,9.7,6.71,
12/17/2014,2014,12,PW,Control,P75913,10,5,3,11:01,26.82,12.65,7.23,6.7,
12/17/2014,2014,12,PW,Control,P75913,10,5,4,11:04,25.46,12.85,7.38,6.63,
12/17/2014,2014,12,PW,Control,P75913,10,5,5,11:07,25.55,15.61,9.1,6.71,
12/17/2014,2014,12,PW,Control,P75913,N/A,7,1,11:24,28.95,12.75,7.28,6.68,
12/17/2014,2014,12,PW,Control,P75913,N/A,7,2,11:25,28.44,14.16,8.16,6.74,
12/17/2014,2014,12,PW,Control,P75913,12,7,3,11:27,28.33,14.44,8.34,6.61,
12/17/2014,2014,12,PW,Control,P75913,12,7,4,11:29,25.98,12.45,7.13,6.77,
12/17/2014,2014,12,PW,Control,P75913,12,7,5,11:31,28,12.99,7.44,6.68,
12/17/2014,2014,12,PW,Control,P75913,N/A,8,1,11:11,25.75,17.62,10.39,6.74,
12/17/2014,2014,12,PW,Control,P75913,N/A,8,2,11:13,26.07,16.29,9.53,6.62,
12/17/2014,2014,12,PW,Control,P75913,13,8,3,11:15,26.69,17.12,10.05,6.65,
12/17/2014,2014,12,PW,Control,P75913,13,8,4,11:17,25.81,13.84,7.99,6.63,
12/17/2014,2014,12,PW,Control,P75913,13,8,5,11:19,25.2,13.79,7.96,6.57,
12/17/2014,2014,12,PW,Control,P75913,N/A,9,1,11:35,25.2,17.81,10.51,6.67,
12/17/2014,2014,12,PW,Control,P75913,N/A,9,2,11:37,26.45,17.22,10.11,6.63,
12/17/2014,2014,12,PW,Control,P75913,14,9,3,11:39,25.08,13.66,7.88,6.69,
12/17/2014,2014,12,PW,Control,P75913,14,9,4,11:41,26.95,15.74,9.17,6.74,
12/17/2014,2014,12,PW,Control,P75913,14,9,5,11:45,26.46,14.46,8.38,6.64,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,11,1,11:50,26.4,19.98,11.93,6.61,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,11,2,11:53,27.71,14.55,8.42,6.72,
12/17/2014,2014,12,PW,Treatment,P75913,16,11,3,11:54,27.82,18.5,10.93,6.74,
12/17/2014,2014,12,PW,Treatment,P75913,16,11,4,11:57,26.17,18.59,11,6.85,
12/17/2014,2014,12,PW,Treatment,P75913,16,11,5,11:58,26.29,17.23,10.13,6.59,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,12,1,12:05,28.78,23.33,13.9,6.63,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,12,2,12:07,27.9,21.18,12.66,6.67,
12/17/2014,2014,12,PW,Treatment,P75913,17,12,3,12:08,27.62,10.12,11.97,6.68,
12/17/2014,2014,12,PW,Treatment,P75913,17,12,4,12:11,26.35,19.84,11.8,6.52,
12/17/2014,2014,12,PW,Treatment,P75913,17,12,5,12:13,26.28,20.29,12.11,6.6,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,13,1,12:18,26.58,13.01,7.46,6.72,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,13,2,12:19,29.47,12.77,7.29,6.68,
12/17/2014,2014,12,PW,Treatment,P75913,18,13,3,12:22,30.9,16.85,9.84,6.7,
12/17/2014,2014,12,PW,Treatment,P75913,18,13,4,12:25,27.4,19.63,11.65,6.54,
12/17/2014,2014,12,PW,Treatment,P75913,18,13,5,12:28,26.9,18.75,11.1,6.8,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,14,1,12:33,30.3,20.98,12.47,6.75,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,14,2,12:35,29.7,20.42,12.16,6.57,
12/17/2014,2014,12,PW,Treatment,P75913,19,14,3,12:37,26.64,19.37,11.49,6.5,
12/17/2014,2014,12,PW,Treatment,P75913,19,14,4,12:39,26.77,21.11,12.63,6.65,
12/17/2014,2014,12,PW,Treatment,P75913,19,14,5,12:41,27.49,19.64,11.65,6.52,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,15,1,12:46,32.92,17.12,9.98,6.71,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,15,2,12:49,32,17.5,10.22,6.66,
12/17/2014,2014,12,PW,Treatment,P75913,20,15,3,12:51,28.66,14.98,8.67,6.65,
12/17/2014,2014,12,PW,Treatment,P75913,20,15,4,12:53,28.15,16.55,9.66,6.5,
12/17/2014,2014,12,PW,Treatment,P75913,20,15,5,12:56,28.02,17.78,10.46,6.7,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,16,1,13:02,27.02,18.77,11.11,6.64,
12/17/2014,2014,12,PW,Treatment,P75913,N/A,16,2,13:04,30.8,19.91,11.78,6.54,
12/17/2014,2014,12,PW,Treatment,P75913,21,16,3,13:06,28.82,20.6,12.2,6.56,
12/17/2014,2014,12,PW,Treatment,P75913,21,16,4,13:09,27.63,20.73,12.37,6.65,
12/17/2014,2014,12,PW,Treatment,P75913,21,16,5,13:12,27.24,21.12,12.61,6.69,
12/17/2014,2014,12,SW,Control,P75912,2,1,N/A,10:59,15.99,10.04,5.7,,
12/17/2014,2014,12,SW,Control,P75912,3,1,N/A,10:59,15.99,10.04,5.7,,FD
12/17/2014,2014,12,SW,Control,P75912,8,3,N/A,10:46,15.82,9.968,5.65,,
12/17/2014,2014,12,SW,Control,P75912,10,5,N/A,11:29,20.09,9.23,5.19,,
12/17/2014,2014,12,SW,Control,P75912,12,7,N/A,11:27,22,3.69,1.95,,
12/17/2014,2014,12,SW,Control,P75912,13,8,N/A,11:28,20.26,6.91,3.81,,
12/17/2014,2014,12,SW,Control,P75912,14,9,N/A,11:25,24.29,7.97,4.42,,
12/17/2014,2014,12,SW,Treatment,P75912,16,11,N/A,11:24,19.8,11.22,6.4,,
12/17/2014,2014,12,SW,Treatment,P75912,17,12,N/A,11:32,19.74,11.04,6.24,,
12/17/2014,2014,12,SW,Treatment,P75912,18,13,N/A,11:22,20.22,11.22,6.4,,
12/17/2014,2014,12,SW,Treatment,P75912,19,14,N/A,11:22,19.43,11.03,6.29,,
12/17/2014,2014,12,SW,Treatment,P75912,20,15,N/A,11:20,19.92,11.13,6.34,,
12/17/2014,2014,12,SW,Treatment,P75912,21,16,N/A,11:19,20.47,11.14,6.36,,
12/17/2014,2014,12,SW,Treatment,P75912,22,16,N/A,11:19,20.47,11.14,6.36,,FD
12/17/2014,2014,12,SW,Source,P75912,23,S-199,N/A,17:22,20.53,0.546,0.26,,
1/14/2015,2015,1,PW,Control,P76815,N/A,1,1,10:56,25.88,13.01,7.47,6.69,
1/14/2015,2015,1,PW,Control,P76815,N/A,1,2,11:01,25.41,15.66,9.12,6.57,
1/14/2015,2015,1,PW,Control,P76815,1,1,3,11:03,25.71,12.91,7.4,6.5,
1/14/2015,2015,1,PW,Control,P76815,1,1,4,11:05,26.61,11.2,6.35,6.45,
1/14/2015,2015,1,PW,Control,P76815,1,1,5,11:07,26.52,12.14,6.92,6.51,
1/14/2015,2015,1,PW,Control,P76815,N/A,3,1,11:09,25.11,16.32,9.56,6.5,
1/14/2015,2015,1,PW,Control,P76815,N/A,3,2,11:12,26.17,17.07,10.01,6.83,
1/14/2015,2015,1,PW,Control,P76815,2,3,3,11:14,26.59,13.69,7.88,6.65,
1/14/2015,2015,1,PW,Control,P76815,2,3,4,11:17,27.13,15.06,8.74,6.65,
1/14/2015,2015,1,PW,Control,P76815,2,3,5,11:19,27.26,15.36,8.92,6.54,
1/14/2015,2015,1,PW,Control,P76815,N/A,5,1,11:21,25.99,15.57,9.06,6.55,
1/14/2015,2015,1,PW,Control,P76815,N/A,5,2,11:24,26.48,16,9.35,6.56,
1/14/2015,2015,1,PW,Control,P76815,3,5,3,11:26,26.81,12.82,7.35,6.6,
1/14/2015,2015,1,PW,Control,P76815,3,5,4,11:28,27.3,13.07,7.49,6.56,
1/14/2015,2015,1,PW,Control,P76815,3,5,5,11:30,27.44,15.48,9,6.56,
1/14/2015,2015,1,PW,Control,P76815,N/A,7,1,11:33,25.65,12.9,7.4,6.65,
1/14/2015,2015,1,PW,Control,P76815,N/A,7,2,11:35,26.45,14.56,8.43,6.62,
1/14/2015,2015,1,PW,Control,P76815,4,7,3,11:37,25.83,14.64,8.5,6.58,
1/14/2015,2015,1,PW,Control,P76815,4,7,4,11:39,26.74,12.75,7.3,6.66,
1/14/2015,2015,1,PW,Control,P76815,4,7,5,11:41,26.78,13.28,7.63,6.68,
1/14/2015,2015,1,PW,Control,P76815,N/A,8,1,11:43,25.51,16.94,9.93,6.78,
1/14/2015,2015,1,PW,Control,P76815,N/A,8,2,11:45,24.88,15.57,9.03,6.69,
1/14/2015,2015,1,PW,Control,P76815,5,8,3,11:47,25.77,16.48,9.66,6.72,
1/14/2015,2015,1,PW,Control,P76815,5,8,4,11:50,26.53,14.24,8.23,6.63,
1/14/2015,2015,1,PW,Control,P76815,5,8,5,11:52,26.95,13.26,7.62,6.59,
1/14/2015,2015,1,PW,Control,P76815,N/A,9,1,11:55,25.91,16.32,9.57,6.59,
1/14/2015,2015,1,PW,Control,P76815,N/A,9,2,11:59,26.23,18.1,10.68,6.62,
1/14/2015,2015,1,PW,Control,P76815,6,9,3,12:03,27.31,14.53,8.41,6.65,
1/14/2015,2015,1,PW,Control,P76815,6,9,4,12:06,29.03,16.39,9.56,6.78,
1/14/2015,2015,1,PW,Control,P76815,6,9,5,12:09,28.53,14.95,8.68,6.67,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,11,1,13:22,29.04,20.62,12.31,6.65,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,11,2,13:25,29.4,15.71,9.12,6.65,
1/14/2015,2015,1,PW,Treatment,P76815,7,11,3,13:29,28.79,20.42,12.15,6.74,
1/14/2015,2015,1,PW,Treatment,P76815,7,11,4,13:31,30.09,21.84,13.06,6.8,
1/14/2015,2015,1,PW,Treatment,P76815,7,11,5,13:33,30.35,21.71,12.96,6.59,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,12,1,13:09,28.55,23.88,14.43,6.81,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,12,2,13:11,29.41,21.74,13,6.67,
1/14/2015,2015,1,PW,Treatment,P76815,8,12,3,13:14,29.4,21.91,13.12,6.7,
1/14/2015,2015,1,PW,Treatment,P76815,8,12,4,13:16,30.5,22.22,13.3,6.55,
1/14/2015,2015,1,PW,Treatment,P76815,8,12,5,13:18,31.04,23.29,13.98,6.65,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,13,1,12:54,28.08,13.56,7.79,6.68,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,13,2,12:57,28.36,19.98,11.87,6.54,
1/14/2015,2015,1,PW,Treatment,P76815,9,13,3,12:59,29.41,18.62,10.99,6.82,
1/14/2015,2015,1,PW,Treatment,P76815,9,13,4,13:04,30.4,25.71,15.64,6.57,
1/14/2015,2015,1,PW,Treatment,P76815,9,13,5,13:01,30.19,23.38,14.09,6.78,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,14,1,12:42,26.69,19.98,11.89,6.55,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,14,2,12:44,26.74,20.23,12.06,6.63,
1/14/2015,2015,1,PW,Treatment,P76815,10,14,3,12:47,28.07,21.37,12.78,6.59,
1/14/2015,2015,1,PW,Treatment,P76815,10,14,4,12:49,29.51,24.39,14.73,6.63,
1/14/2015,2015,1,PW,Treatment,P76815,10,14,5,12:52,29.48,22.18,13.32,6.61,
1/14/2015,2015,1,PW,Treatment,P76815,N/A,15,1,12:14,27.47,16.91,9.91,6.63,
